Age,Gender,Department,Job_Level,Monthly_Salary,Years_At_Company,Overtime,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours,Remote_Work,City,Left_Company
27,FEMALE,IT,Senior,52000,3,Yes,2,4,1,5,Yes,Rajkot,1.0
29,MALE,SALES,Manager,72000,1,No,3,4,3,15,No,Delhi,1.0
38,MALE,MARKETING,Junior,52000,2,No,2,5,3,30,Yes,Rajkot,1.0
29,FEMALE,SALES,Junior,72000,7,No,3,4,2,25,Yes,Vadodara,0.0
42,MALE,MARKETING,Senior,52000,7,Yes,4,1,3,30,No,Mumbai,0.0
38,FEMALE,HR,Manager,52000,5,No,4,5,3,15,No,Mumbai,0.0
21,FEMALE,HR,Junior,52000,2,No,3,4,5,10,No,Mumbai,0.0
29,MALE,HR,Senior,55000,7,Yes,5,4,2,15,Yes,Mumbai,1.0
29,MALE,SALES,Mid,60000,4,Yes,1,4,4,5,Yes,Delhi,0.0
42,FEMALE,HR,Junior,52000,3,No,3,3,3,15,No,Mumbai,0.0
31,MALE,FINANCE,Senior,52000,4,No,2,4,2,10,Yes,Ahmedabad,1.0
29,FEMALE,SALES,Junior,28000,2,Yes,4,5,3,15,No,Vadodara,0.0
23,FEMALE,FINANCE,Mid,32000,10,Yes,2,4,4,5,Yes,Ahmedabad,1.0
25,MALE,SALES,Junior,85000,3,Yes,3,4,3,10,No,Surat,0.0
38,FEMALE,FINANCE,Manager,85000,10,Yes,3,4,1,15,Yes,Mumbai,1.0
27,FEMALE,FINANCE,Mid,52000,4,Yes,2,1,1,15,No,Vadodara,1.0
48,FEMALE,SALES,Manager,32000,1,Yes,2,4,3,15,Yes,Mumbai,1.0
29,MALE,MARKETING,Manager,60000,1,No,2,2,5,20,No,Mumbai,0.0
29,FEMALE,FINANCE,Manager,55000,4,Yes,5,2,2,25,Yes,Surat,1.0
29,MALE,SALES,Senior,52000,4,No,5,1,1,15,Yes,Ahmedabad,0.0
34,MALE,HR,Junior,52000,1,Yes,2,3,5,5,Yes,Vadodara,1.0
29,FEMALE,SALES,Senior,45000,7,No,3,3,2,15,No,Mumbai,1.0
29,MALE,MARKETING,Mid,52000,10,Yes,2,4,2,15,Yes,Mumbai,1.0
29,MALE,HR,Senior,60000,10,No,3,1,1,25,No,Mumbai,0.0
23,MALE,FINANCE,Junior,55000,4,Yes,1,4,1,15,Yes,Rajkot,1.0
29,FEMALE,IT,Senior,32000,4,Yes,3,4,4,25,No,Vadodara,1.0
29,FEMALE,MARKETING,Manager,55000,5,Yes,4,4,3,30,No,Mumbai,1.0
29,MALE,MARKETING,Junior,52000,7,Yes,4,5,2,20,No,Ahmedabad,0.0
27,FEMALE,FINANCE,Senior,72000,10,No,3,4,2,5,Yes,Mumbai,0.0
38,FEMALE,HR,Mid,32000,4,Yes,2,5,5,15,No,Mumbai,0.0
29,FEMALE,SALES,Senior,52000,4,No,4,5,4,10,Yes,Rajkot,0.0
34,FEMALE,FINANCE,Mid,45000,3,No,2,4,4,30,No,Mumbai,0.0
38,FEMALE,IT,Junior,72000,7,Yes,3,4,5,15,Yes,Rajkot,1.0
29,MALE,FINANCE,Senior,38000,3,No,1,4,5,5,Yes,Mumbai,1.0
29,MALE,HR,Senior,60000,5,No,5,2,4,5,No,Ahmedabad,0.0
48,MALE,SALES,Mid,28000,4,No,2,2,5,20,No,Mumbai,0.0
21,FEMALE,MARKETING,Junior,72000,10,No,4,2,5,20,Yes,Mumbai,0.0
29,FEMALE,IT,Junior,72000,2,Yes,3,1,3,15,No,Surat,1.0
29,FEMALE,FINANCE,Senior,55000,4,No,3,4,3,25,Yes,Rajkot,0.0
38,FEMALE,FINANCE,Senior,28000,7,No,3,4,3,25,Yes,Mumbai,0.0
27,FEMALE,HR,Mid,32000,10,No,4,5,3,15,No,Ahmedabad,0.0
42,FEMALE,IT,Manager,55000,10,Yes,3,4,3,15,Yes,Mumbai,0.0
29,MALE,HR,Senior,55000,3,No,4,5,3,15,No,Mumbai,0.0
42,MALE,MARKETING,Junior,52000,5,Yes,1,5,3,15,No,Surat,1.0
23,MALE,IT,Senior,85000,2,No,3,2,5,5,No,Vadodara,1.0
29,FEMALE,FINANCE,Junior,72000,4,Yes,3,5,4,25,No,Mumbai,0.0
29,FEMALE,SALES,Senior,45000,2,No,4,3,5,10,No,Ahmedabad,0.0
29,FEMALE,IT,Mid,52000,4,Yes,4,5,3,20,No,Surat,1.0
29,MALE,IT,Mid,52000,5,No,2,5,3,25,No,Mumbai,0.0
31,MALE,IT,Manager,52000,5,Yes,2,4,3,5,Yes,Ahmedabad,1.0
23,FEMALE,FINANCE,Senior,85000,7,No,3,4,3,10,No,Delhi,0.0
31,FEMALE,IT,Manager,32000,7,Yes,3,1,3,15,No,Mumbai,1.0
42,MALE,IT,Mid,52000,5,No,2,2,1,20,No,Mumbai,0.0
29,FEMALE,HR,Manager,32000,3,No,5,5,4,15,No,Rajkot,0.0
29,FEMALE,HR,Senior,38000,5,No,3,5,3,5,Yes,Mumbai,0.0
31,FEMALE,HR,Junior,85000,4,Yes,3,5,3,20,No,Mumbai,1.0
29,MALE,FINANCE,Senior,52000,3,No,1,3,5,30,Yes,Mumbai,0.0
23,FEMALE,FINANCE,Senior,38000,5,Yes,3,2,3,30,No,Mumbai,1.0
29,MALE,HR,Mid,52000,4,Yes,2,2,3,10,No,Vadodara,0.0
25,FEMALE,IT,Senior,72000,4,No,3,3,2,10,No,Mumbai,0.0
29,MALE,SALES,Manager,52000,5,Yes,3,5,3,15,No,Surat,0.0
27,FEMALE,MARKETING,Manager,52000,4,Yes,4,4,5,30,No,Mumbai,1.0
29,MALE,IT,Junior,52000,1,Yes,3,5,3,20,Yes,Delhi,0.0
21,MALE,HR,Senior,52000,4,Yes,3,3,1,25,Yes,Mumbai,1.0
29,FEMALE,HR,Senior,38000,4,Yes,3,2,4,10,No,Rajkot,1.0
29,FEMALE,HR,Manager,28000,2,No,3,5,5,15,Yes,Surat,0.0
29,FEMALE,IT,Junior,45000,4,Yes,3,2,2,5,Yes,Mumbai,1.0
29,FEMALE,HR,Senior,52000,4,No,3,4,3,10,No,Mumbai,0.0
23,FEMALE,HR,Mid,60000,7,Yes,2,1,4,25,No,Surat,0.0
25,FEMALE,IT,Senior,45000,4,Yes,4,4,3,20,Yes,Vadodara,1.0
29,FEMALE,MARKETING,Mid,32000,1,No,1,4,3,20,Yes,Delhi,1.0
38,MALE,HR,Senior,32000,7,No,2,5,5,20,No,Ahmedabad,1.0
29,MALE,HR,Manager,72000,4,No,2,2,3,15,Yes,Vadodara,1.0
42,MALE,HR,Senior,85000,10,Yes,2,4,4,15,No,Mumbai,1.0
31,FEMALE,IT,Senior,52000,4,Yes,2,2,1,15,Yes,Delhi,1.0
29,MALE,HR,Manager,60000,10,Yes,5,5,3,10,Yes,Rajkot,0.0
29,FEMALE,HR,Senior,32000,4,No,1,5,1,15,Yes,Mumbai,1.0
29,FEMALE,HR,Mid,52000,2,Yes,4,4,4,15,Yes,Vadodara,0.0
25,MALE,HR,Junior,38000,1,Yes,5,5,3,15,No,Mumbai,1.0
29,FEMALE,HR,Senior,52000,4,No,5,1,2,15,No,Ahmedabad,1.0
21,MALE,MARKETING,Senior,32000,10,No,3,4,5,20,Yes,Delhi,0.0
29,MALE,IT,Manager,32000,10,Yes,3,4,3,10,No,Ahmedabad,0.0
34,FEMALE,FINANCE,Junior,45000,10,Yes,2,4,3,25,Yes,Rajkot,1.0
29,FEMALE,SALES,Senior,60000,3,No,2,3,3,20,No,Vadodara,0.0
29,MALE,HR,Senior,72000,7,Yes,3,5,1,15,No,Mumbai,1.0
31,FEMALE,HR,Junior,28000,5,Yes,2,4,4,15,Yes,Mumbai,1.0
29,MALE,IT,Manager,32000,7,Yes,3,1,2,15,No,Vadodara,0.0
31,FEMALE,IT,Senior,52000,7,Yes,3,5,3,15,Yes,Surat,1.0
34,MALE,HR,Senior,55000,7,No,2,4,5,30,Yes,Delhi,0.0
25,FEMALE,SALES,Mid,38000,5,Yes,1,4,3,15,No,Mumbai,1.0
31,FEMALE,HR,Junior,72000,4,No,5,5,2,15,No,Mumbai,0.0
34,FEMALE,HR,Senior,52000,4,No,3,4,3,15,Yes,Ahmedabad,0.0
23,FEMALE,HR,Junior,52000,3,Yes,3,3,3,15,Yes,Rajkot,0.0
23,FEMALE,IT,Mid,72000,4,Yes,2,2,3,30,No,Vadodara,0.0
23,FEMALE,HR,Junior,28000,5,No,3,4,1,25,No,Mumbai,0.0
48,MALE,HR,Junior,85000,1,Yes,4,3,3,15,Yes,Delhi,0.0
42,MALE,IT,Junior,55000,4,Yes,1,4,3,15,Yes,Mumbai,1.0
29,FEMALE,SALES,Senior,52000,7,No,1,4,5,30,No,Mumbai,0.0
27,FEMALE,HR,Junior,52000,4,Yes,3,5,5,15,No,Mumbai,0.0
31,FEMALE,IT,Junior,52000,2,Yes,3,4,3,15,No,Delhi,1.0
23,FEMALE,HR,Senior,72000,3,No,5,4,1,10,Yes,Mumbai,0.0
21,FEMALE,HR,Senior,85000,7,No,3,5,3,5,Yes,Mumbai,0.0
29,MALE,FINANCE,Junior,52000,1,No,2,4,3,30,Yes,Mumbai,1.0
25,FEMALE,HR,Junior,72000,7,No,3,5,2,10,Yes,Vadodara,0.0
38,MALE,MARKETING,Senior,52000,5,No,4,2,2,10,No,Vadodara,0.0
29,FEMALE,HR,Junior,55000,3,No,3,4,1,20,No,Rajkot,0.0
48,FEMALE,HR,Junior,38000,2,Yes,3,5,5,15,No,Surat,1.0
48,FEMALE,FINANCE,Junior,52000,3,No,1,2,5,15,Yes,Vadodara,0.0
29,FEMALE,HR,Senior,45000,5,No,5,2,5,15,No,Vadodara,0.0
21,MALE,IT,Junior,32000,5,No,3,1,4,15,Yes,Mumbai,0.0
25,FEMALE,HR,Senior,28000,10,No,3,4,3,15,Yes,Delhi,0.0
31,FEMALE,HR,Junior,32000,4,Yes,5,5,2,15,Yes,Ahmedabad,0.0
25,FEMALE,IT,Mid,52000,4,No,2,5,4,5,Yes,Mumbai,0.0
29,FEMALE,IT,Junior,28000,4,Yes,1,2,4,15,Yes,Delhi,0.0
34,FEMALE,HR,Senior,32000,4,No,5,2,2,10,No,Delhi,0.0
21,FEMALE,HR,Manager,55000,1,No,3,5,5,15,No,Vadodara,0.0
42,FEMALE,MARKETING,Junior,60000,4,Yes,3,5,4,5,Yes,Delhi,0.0
29,MALE,IT,Junior,85000,4,Yes,3,3,5,15,No,Rajkot,0.0
34,FEMALE,IT,Manager,60000,10,No,3,5,3,5,No,Rajkot,0.0
31,FEMALE,FINANCE,Manager,55000,7,Yes,3,4,2,25,No,Mumbai,0.0
29,MALE,HR,Senior,55000,5,Yes,2,4,4,30,No,Mumbai,0.0
29,FEMALE,SALES,Mid,55000,5,No,2,4,2,5,Yes,Rajkot,1.0
25,MALE,FINANCE,Junior,55000,4,No,4,5,3,25,Yes,Surat,0.0
29,FEMALE,FINANCE,Mid,28000,4,No,5,1,1,25,No,Surat,1.0
29,FEMALE,FINANCE,Junior,85000,2,Yes,3,5,3,25,No,Ahmedabad,0.0
31,MALE,FINANCE,Manager,55000,10,Yes,3,3,4,30,No,Ahmedabad,0.0
48,MALE,MARKETING,Junior,52000,5,Yes,4,1,3,10,No,Mumbai,1.0
27,FEMALE,MARKETING,Senior,72000,3,No,3,5,3,30,No,Mumbai,0.0
42,FEMALE,HR,Junior,85000,7,Yes,2,1,3,15,Yes,Rajkot,1.0
29,MALE,HR,Senior,45000,4,Yes,3,1,4,15,No,Mumbai,1.0
29,FEMALE,FINANCE,Senior,28000,2,Yes,3,4,3,10,No,Ahmedabad,1.0
29,MALE,IT,Manager,85000,10,Yes,3,4,1,15,No,Mumbai,1.0
29,MALE,MARKETING,Manager,52000,10,Yes,3,4,2,15,Yes,Vadodara,0.0
21,MALE,FINANCE,Junior,52000,4,Yes,2,1,4,5,No,Ahmedabad,1.0
29,FEMALE,HR,Senior,45000,7,No,3,4,3,15,Yes,Rajkot,0.0
34,FEMALE,FINANCE,Senior,52000,4,Yes,3,4,3,15,Yes,Mumbai,1.0
29,MALE,SALES,Mid,52000,3,No,1,4,4,15,No,Vadodara,0.0
42,FEMALE,HR,Senior,32000,4,Yes,5,4,3,5,Yes,Rajkot,1.0
27,MALE,MARKETING,Junior,45000,2,No,4,4,4,20,Yes,Delhi,0.0
38,MALE,MARKETING,Senior,55000,2,No,3,4,3,30,No,Ahmedabad,0.0
29,MALE,HR,Junior,72000,5,No,4,4,2,15,Yes,Rajkot,0.0
29,FEMALE,HR,Senior,52000,4,No,3,3,2,15,No,Vadodara,0.0
29,FEMALE,HR,Senior,28000,10,No,4,2,3,15,Yes,Rajkot,0.0
21,FEMALE,HR,Senior,85000,4,No,3,1,1,15,Yes,Mumbai,0.0
27,FEMALE,HR,Junior,38000,4,Yes,3,5,3,15,Yes,Delhi,1.0
29,MALE,HR,Senior,52000,2,No,3,4,5,15,Yes,Ahmedabad,1.0
27,FEMALE,HR,Junior,28000,4,Yes,1,2,3,25,No,Ahmedabad,1.0
48,MALE,HR,Senior,38000,10,No,3,4,3,15,Yes,Delhi,0.0
29,MALE,FINANCE,Senior,28000,4,No,4,4,5,15,No,Vadodara,0.0
23,MALE,MARKETING,Mid,52000,5,No,2,3,3,15,Yes,Delhi,1.0
25,MALE,HR,Mid,32000,4,Yes,2,2,1,10,Yes,Surat,0.0
23,FEMALE,FINANCE,Manager,52000,4,No,3,4,2,15,Yes,Mumbai,0.0
38,MALE,MARKETING,Manager,52000,2,Yes,5,4,3,15,Yes,Rajkot,0.0
31,FEMALE,FINANCE,Senior,85000,3,Yes,3,4,4,30,No,Mumbai,0.0
29,MALE,SALES,Senior,72000,10,Yes,2,4,5,15,No,Ahmedabad,0.0
25,FEMALE,FINANCE,Senior,85000,5,No,5,3,3,15,No,Surat,0.0
42,FEMALE,HR,Senior,72000,7,No,2,2,3,20,Yes,Vadodara,1.0
23,MALE,FINANCE,Junior,28000,4,Yes,4,5,3,15,No,Vadodara,0.0
25,MALE,HR,Junior,52000,5,Yes,3,4,5,15,Yes,Mumbai,1.0
21,FEMALE,IT,Senior,32000,7,Yes,3,4,5,15,No,Vadodara,1.0
34,MALE,FINANCE,Senior,52000,1,No,4,5,5,15,No,Ahmedabad,0.0
31,MALE,HR,Junior,38000,4,No,2,5,3,15,Yes,Delhi,1.0
29,FEMALE,HR,Junior,38000,5,Yes,2,3,3,10,No,Mumbai,1.0
34,MALE,FINANCE,Junior,72000,4,Yes,3,3,4,25,No,Vadodara,0.0
29,FEMALE,HR,Mid,45000,4,Yes,2,4,3,15,No,Mumbai,1.0
42,FEMALE,IT,Senior,45000,3,No,3,2,5,10,Yes,Delhi,0.0
29,MALE,SALES,Manager,32000,4,Yes,1,5,3,30,Yes,Mumbai,1.0
25,FEMALE,FINANCE,Mid,72000,4,No,1,4,5,25,No,Vadodara,0.0
25,FEMALE,HR,Senior,32000,10,Yes,5,3,3,15,No,Vadodara,0.0
29,FEMALE,FINANCE,Junior,52000,10,No,3,2,3,10,No,Mumbai,0.0
29,FEMALE,IT,Senior,32000,7,Yes,3,4,4,20,No,Mumbai,1.0
21,FEMALE,IT,Senior,52000,2,No,1,2,3,15,No,Mumbai,1.0
29,FEMALE,FINANCE,Senior,32000,5,Yes,3,3,1,15,Yes,Rajkot,1.0
42,MALE,FINANCE,Junior,45000,4,Yes,1,4,3,10,No,Vadodara,0.0
25,FEMALE,IT,Senior,52000,3,No,2,1,5,15,No,Delhi,1.0
23,FEMALE,HR,Mid,32000,2,Yes,2,4,4,30,No,Rajkot,1.0
29,FEMALE,MARKETING,Senior,28000,5,No,4,4,3,5,No,Mumbai,0.0
31,FEMALE,HR,Junior,60000,10,Yes,3,4,5,15,No,Surat,0.0
29,FEMALE,IT,Manager,55000,4,No,3,4,1,15,No,Vadodara,1.0
48,FEMALE,HR,Senior,72000,2,Yes,3,4,1,20,Yes,Mumbai,1.0
29,MALE,IT,Senior,38000,3,No,3,5,2,30,No,Mumbai,0.0
23,MALE,FINANCE,Senior,55000,2,No,3,4,1,15,No,Vadodara,0.0
